"member_id","member_lat","member_lon","member_name","member_city","all_event_ids"
5491268,33.6399993896484,-96.6100006103516,"Joel","Sherman","10019496,10025192,10421710,11023215,11296659,11477010,11714408,11727655,11913140,11921050,11977231,12223661,12339437,12500962,12861934,12981132,13187767,13242858,13242905,13243115,13393667,13700037,14938127,15008801,15258282,15668243,15930282,16157266,16879926,17189157,18121661,18419441,18419671,40803642,9913143"
9972122,33.6500015258789,-96.629997253418,"Carrie ","Sherman","59431762,60628032,63983012,66044232,76699852,83381062,84356332,86977642,93301822,93301982,qssgkcyqpbgb,qvppddyqmbnb,qvppddyqmbwb,qvppddyqnbcb,qvppddyqnblb,qvppddyqnbmc,qvppddyqpbhb,qvppddyqpbjc,qvppddyqpbqb,qvppddyqpbzb,qvppddyqqbwb,qvppddyrdbpb,qvppddyrdbxb"
11047419,33.6500015258789,-96.629997253418,"Marliece","Sherman","104565182,15988521,16070797,16840214,17323601,51359432,98164072"
11540914,33.6399993896484,-96.6100006103516,"lordcpaq","Sherman","13194026,14021349,14021458,15147187,15147914,16098898,16099180,17453980,22207571,22316521,33418112,33567792,33569032,45877972,53551362,56220032,60025752,63961542,72794232,81935062,86370402,91264182"
14637628,33.6399993896484,-96.6100006103516,"^Gecko^","Sherman","17453980,33567792,33569032,60025752,72794232,81935062,86370402"
